Location,Male,Female
United States,0.489,0.511
Alabama,0.481,0.519
Alaska,0.507,0.493
Arizona,0.493,0.507
Arkansas,0.484,0.516
California,0.494,0.506
Colorado,0.501,0.499
Connecticut,0.487,0.513
Delaware,0.482,0.518
District of Columbia,0.475,0.525
Florida,0.485,0.515
Georgia,0.482,0.518
Hawaii,0.488,0.512
Idaho,0.499,0.501
Illinois,0.487,0.513
Indiana,0.49,0.51
Iowa,0.495,0.505
Kansas,0.49,0.51
Kentucky,0.49,0.51
Louisiana,0.481,0.519
Maine,0.484,0.516
Maryland,0.48,0.52
Massachusetts,0.486,0.514
Michigan,0.49,0.51
Minnesota,0.496,0.504
Mississippi,0.475,0.525
Missouri,0.487,0.513
Montana,0.499,0.501
Nebraska,0.497,0.503
Nevada,0.497,0.503
New Hampshire,0.494,0.506
New Jersey,0.487,0.513
New Mexico,0.488,0.512
New York,0.484,0.516
North Carolina,0.48,0.52
North Dakota,0.505,0.495
Ohio,0.489,0.511
Oklahoma,0.49,0.51
Oregon,0.492,0.508
Pennsylvania,0.487,0.513
Rhode Island,0.489,0.511
South Carolina,0.477,0.523
South Dakota,0.504,0.496
Tennessee,0.484,0.516
Texas,0.491,0.509
Utah,0.5,0.5
Vermont,0.494,0.506
Virginia,0.484,0.516
Washington,0.497,0.503
West Virginia,0.491,0.509
Wisconsin,0.493,0.507
Wyoming,0.509,0.491
Puerto Rico,0.473,0.527
